h3,total,prop_sin_asal,prop_peq_patr,prop_myg_patr,prop_agric,prop_ganaderia,hc_clst_4,hc_clst_5,hc_clst_6,hc_clst_7
87a94479affffff,1,0,1,0,0,1,2,2,2,2
87a9447a1ffffff,1,0,1,0,0,1,2,2,2,2
87a944a04ffffff,1,0,1,0,0,0,1,1,1,1
87a944a12ffffff,1,1,0,0,1,0,4,5,5,7
87a944a14ffffff,3,1,0,0,1,0,4,5,5,7
87a944a16ffffff,21,1,0,0,0.9523809523809524,0.04761904761904761,4,5,5,7
87a944a32ffffff,10,1,0,0,0.2,0.5,4,5,5,5
87a944a41ffffff,3,1,0,0,0,1,3,3,3,3
87a944a43ffffff,5,1,0,0,0,0.8,4,5,5,5
87a944a4affffff,2,0,1,0,0,0,1,1,1,1
87a944a55ffffff,3,0,1,0,0,0.6666666666666666,1,1,1,1
87a944a56ffffff,7,1,0,0,0,1,3,3,3,3
87a944a58ffffff,8,0.25,0.5,0.25,0,0.875,1,1,1,1
87a944a59ffffff,1,0,1,0,0,1,2,2,2,2
87a944a5affffff,3,1,0,0,0.6666666666666666,0.3333333333333333,4,5,5,7
87a944a5bffffff,1,1,0,0,0,1,3,3,3,3
87a944a5cffffff,2,1,0,0,0,1,3,3,3,3
87a944a5dffffff,3,0.6666666666666666,0.3333333333333333,0,0,0.3333333333333333,4,5,5,5
87a944a5effffff,5,0.6,0.4,0,0,0.8,4,5,5,5
87a944a62ffffff,1,0,1,0,0,1,2,2,2,2
87a944a6affffff,3,1,0,0,0,0.6666666666666666,4,5,5,5
87a944a6bffffff,1,1,0,0,0,0,4,5,5,5
87a944a6dffffff,1,1,0,0,0,1,3,3,3,3
87a944a71ffffff,1,1,0,0,0,1,3,3,3,3
87a944a75ffffff,2,0,1,0,0,1,2,2,2,2
87a944a84ffffff,15,1,0,0,0.6,0.26666666666666666,4,5,5,5
87a944a85ffffff,1,1,0,0,1,0,4,5,5,7
87a944a86ffffff,1,1,0,0,0,1,3,3,3,3
87a944a93ffffff,1,1,0,0,0,1,3,3,3,3
87a944a9affffff,1,1,0,0,0,1,3,3,3,3
87a944a9effffff,2,1,0,0,0.5,0.5,4,5,5,5
87a944aa0ffffff,7,1,0,0,0.8571428571428571,0.14285714285714285,4,5,5,7
87a944aa1ffffff,4,1,0,0,0.25,0.25,4,5,5,5
87a944aa2ffffff,3,1,0,0,1,0,4,5,5,7
87a944aa3ffffff,12,1,0,0,0.8333333333333334,0.08333333333333333,4,5,5,7
87a944aa5ffffff,5,1,0,0,1,0,4,5,5,7
87a944aaeffffff,1,1,0,0,0,1,3,3,3,3
87a944ac8ffffff,1,1,0,0,0,1,3,3,3,3
87a944acbffffff,6,0.8333333333333334,0,0.16666666666666666,0.3333333333333333,0.5,1,1,1,1
87a944ad1ffffff,2,1,0,0,0,1,3,3,3,3
87a944adeffffff,1,1,0,0,0,1,3,3,3,3
87a944ae9ffffff,1,1,0,0,0,1,3,3,3,3
87a944aebffffff,3,1,0,0,0,0,4,5,5,5
87a944b01ffffff,1,1,0,0,0,1,3,3,3,3
87a944b05ffffff,1,1,0,0,0,1,3,3,3,3
87a944b08ffffff,2,1,0,0,0,1,3,3,3,3
87a944b0cffffff,3,1,0,0,0,1,3,3,3,3
87a944b0dffffff,2,1,0,0,0,0.5,4,5,5,5
87a944b0effffff,5,1,0,0,0.2,0.8,4,5,5,5
87a944b21ffffff,21,1,0,0,0.5238095238095238,0.23809523809523808,4,5,5,5
87a944b23ffffff,3,1,0,0,0,0.3333333333333333,4,5,5,5
87a944b25ffffff,8,1,0,0,0.25,0.625,4,5,5,5
87a944b29ffffff,8,0.5,0.25,0.25,0.375,0.375,1,1,1,1
87a944b2bffffff,5,0.8,0.2,0,0.6,0.4,4,5,5,7
87a944b2cffffff,4,1,0,0,0.5,0,4,5,5,7
87a944b2dffffff,2,0.5,0.5,0,0,0,4,5,5,5
87a944b2effffff,1,1,0,0,1,0,4,5,5,7
87a944b75ffffff,2,0.5,0.5,0,0,1,4,5,5,5
87a944b76ffffff,23,0.8260869565217391,0.17391304347826086,0,0.782608695652174,0.21739130434782608,4,5,5,7
87a944b89ffffff,24,1,0,0,0.4166666666666667,0.5,4,5,5,5
87a944b8bffffff,3,1,0,0,0.3333333333333333,0,4,5,5,7
87a944d04ffffff,1,1,0,0,0,1,3,3,3,3
87a944d11ffffff,1,0,1,0,0,1,2,2,2,2
87a945024ffffff,5,0.2,0.8,0,0,1,1,1,1,1
87a945026ffffff,6,1,0,0,0,1,3,3,3,3
87a945109ffffff,2,1,0,0,0,1,3,3,3,3
87a94510bffffff,3,0.3333333333333333,0.6666666666666666,0,0,1,1,1,1,1
87a945119ffffff,1,1,0,0,0,1,3,3,3,3
87a94511bffffff,3,1,0,0,0,0.6666666666666666,4,5,5,5
87a945120ffffff,1,1,0,0,0,1,3,3,3,3
87a945122ffffff,2,1,0,0,0,1,3,3,3,3
87a945125ffffff,1,1,0,0,0,1,3,3,3,3
87a945131ffffff,3,1,0,0,0,1,3,3,3,3
87a945140ffffff,3,1,0,0,0,1,3,3,3,3
87a945141ffffff,4,1,0,0,0,1,3,3,3,3
87a945142ffffff,1,1,0,0,0,1,3,3,3,3
87a945143ffffff,4,1,0,0,0,1,3,3,3,3
87a945145ffffff,3,1,0,0,0,1,3,3,3,3
87a945148ffffff,8,1,0,0,0,1,3,3,3,3
87a94514dffffff,7,0.2857142857142857,0.7142857142857143,0,0.2857142857142857,0.7142857142857143,1,1,1,1
87a945153ffffff,2,1,0,0,0,1,3,3,3,3
87a94515cffffff,2,1,0,0,0,1,3,3,3,3
87a945161ffffff,7,1,0,0,0.14285714285714285,0.8571428571428571,3,3,3,3
87a945162ffffff,1,0,1,0,0,1,2,2,2,2
87a945163ffffff,10,0.8,0.2,0,0.7,0.3,4,5,5,7
87a945164ffffff,5,1,0,0,0.4,0.4,4,5,5,5
87a945165ffffff,3,1,0,0,0,1,3,3,3,3
87a94516bffffff,4,1,0,0,0,1,3,3,3,3
87a94516dffffff,1,1,0,0,0,1,3,3,3,3
87a94516effffff,1,1,0,0,0,1,3,3,3,3
87a945171ffffff,7,0.7142857142857143,0.2857142857142857,0,0,1,4,5,5,5
87a945172ffffff,1,1,0,0,0,1,3,3,3,3
87a945173ffffff,4,1,0,0,0,1,3,3,3,3
87a945180ffffff,1,1,0,0,0,1,3,3,3,3
87a945181ffffff,1,1,0,0,0,1,3,3,3,3
87a945195ffffff,2,0.5,0.5,0,0,1,4,5,5,5
87a9451b3ffffff,1,1,0,0,0,1,3,3,3,3
87a945349ffffff,1,1,0,0,0,1,3,3,3,3
87a94534bffffff,2,1,0,0,0,1,3,3,3,3
87a94580dffffff,1,0,1,0,0,1,2,2,2,2
87a945814ffffff,1,1,0,0,0,1,3,3,3,3
87a945831ffffff,1,1,0,0,0,1,3,3,3,3
87a945832ffffff,1,1,0,0,0,1,3,3,3,3
87a945840ffffff,1,1,0,0,0,1,3,3,3,3
87a945841ffffff,1,1,0,0,0,1,3,3,3,3
87a945845ffffff,2,1,0,0,0,1,3,3,3,3
87a945846ffffff,1,1,0,0,0,1,3,3,3,3
87a945849ffffff,1,1,0,0,1,0,4,5,5,7
87a94584cffffff,1,1,0,0,0,0,4,5,5,5
87a94584effffff,1,1,0,0,0,1,3,3,3,3
87a94585cffffff,3,1,0,0,0,1,3,3,3,3
87a94585effffff,1,1,0,0,0,1,3,3,3,3
87a945863ffffff,1,1,0,0,0,1,3,3,3,3
87a945869ffffff,2,1,0,0,0,1,3,3,3,3
87a94586bffffff,2,1,0,0,0,1,3,3,3,3
87a94586cffffff,1,1,0,0,0,1,3,3,3,3
87a94586dffffff,1,1,0,0,0,1,3,3,3,3
87a945870ffffff,1,1,0,0,0,1,3,3,3,3
87a945876ffffff,1,1,0,0,0,1,3,3,3,3
87a945881ffffff,1,1,0,0,0,1,3,3,3,3
87a945882ffffff,2,1,0,0,0,1,3,3,3,3
87a9458c4ffffff,1,1,0,0,0,1,3,3,3,3
87a9458c6ffffff,3,1,0,0,0,1,3,3,3,3
87a9458c8ffffff,1,1,0,0,0,1,3,3,3,3
87a9458d9ffffff,4,0,1,0,0,1,2,2,2,2
87a945908ffffff,6,1,0,0,0,1,3,3,3,3
87a945909ffffff,1,1,0,0,0,1,3,3,3,3
87a94590cffffff,1,1,0,0,0,1,3,3,3,3
87a945930ffffff,3,1,0,0,0,1,3,3,3,3
87a945940ffffff,1,1,0,0,0,1,3,3,3,3
87a945943ffffff,1,1,0,0,0,1,3,3,3,3
87a945948ffffff,1,1,0,0,0,1,3,3,3,3
87a94594affffff,2,1,0,0,0,1,3,3,3,3
87a94594bffffff,6,1,0,0,0,1,3,3,3,3
87a94594effffff,3,1,0,0,0,1,3,3,3,3
87a945954ffffff,3,1,0,0,0,1,3,3,3,3
87a94595dffffff,1,1,0,0,0,1,3,3,3,3
87a945961ffffff,1,1,0,0,1,0,4,5,5,7
87a94596cffffff,1,1,0,0,0,1,3,3,3,3
87a945971ffffff,1,1,0,0,0,1,3,3,3,3
87a945989ffffff,3,1,0,0,0,1,3,3,3,3
87a94598cffffff,1,1,0,0,0,1,3,3,3,3
87a945996ffffff,2,1,0,0,0,1,3,3,3,3
87a9459b2ffffff,1,1,0,0,0,1,3,3,3,3
87a945a20ffffff,4,1,0,0,0,0.75,4,5,5,5
87a945a32ffffff,5,1,0,0,0,1,3,3,3,3
87a945a36ffffff,1,1,0,0,1,0,4,5,5,7
87a945a4bffffff,1,1,0,0,0,1,3,3,3,3
87a945a4dffffff,3,1,0,0,0,1,3,3,3,3
87a945ab6ffffff,1,1,0,0,0,1,3,3,3,3
87a945b08ffffff,13,0.7692307692307693,0.15384615384615383,0.07692307692307693,0.6153846153846154,0.38461538461538464,4,5,5,5
87a945b0cffffff,13,0.6153846153846154,0.2307692307692308,0.15384615384615383,0.5384615384615384,0.2307692307692308,1,1,1,1
87a945b0effffff,1,1,0,0,0,1,3,3,3,3
87a945b13ffffff,2,1,0,0,0,1,3,3,3,3
87a945b16ffffff,1,0,1,0,0,1,2,2,2,2
87a945b1affffff,3,1,0,0,0,1,3,3,3,3
87a945b1cffffff,1,1,0,0,0,1,3,3,3,3
87a945b1effffff,4,1,0,0,0,1,3,3,3,3
87a945b28ffffff,1,1,0,0,1,0,4,5,5,7
87a945b29ffffff,6,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333,1,1,1,1
87a945b2affffff,1,1,0,0,0,1,3,3,3,3
87a945b2bffffff,6,0.6666666666666666,0.3333333333333333,0,0.6666666666666666,0.3333333333333333,4,5,5,7
87a945b34ffffff,1,1,0,0,0,1,3,3,3,3
87a945b35ffffff,1,0,1,0,0,1,2,2,2,2
87a945b44ffffff,1,1,0,0,0,0,4,5,5,5
87a945b46ffffff,3,1,0,0,0,1,3,3,3,3
87a945b50ffffff,4,0.75,0.25,0,0.5,0.25,4,5,5,7
87a945b52ffffff,1,1,0,0,0,1,3,3,3,3
87a945b54ffffff,6,1,0,0,0,0.8333333333333334,4,5,5,5
87a945b55ffffff,2,0,1,0,1,0,1,1,6,6
87a945b60ffffff,5,1,0,0,0,1,3,3,3,3
87a945b61ffffff,1,1,0,0,0,1,3,3,3,3
87a945b62ffffff,1,1,0,0,0,1,3,3,3,3
87a945b65ffffff,1,1,0,0,0,1,3,3,3,3
87a945b6bffffff,1,0,1,0,0,1,2,2,2,2
87a945b70ffffff,2,0.5,0.5,0,0,1,4,5,5,5
87a945b73ffffff,1,1,0,0,0,1,3,3,3,3
87a945b74ffffff,2,1,0,0,0,0.5,4,5,5,5
87a945b75ffffff,1,1,0,0,0,1,3,3,3,3
87a945b76ffffff,2,1,0,0,0.5,0.5,4,5,5,5
87a945b80ffffff,1,1,0,0,0,1,3,3,3,3
87a945b82ffffff,2,1,0,0,0,1,3,3,3,3
87a945b84ffffff,7,0.7142857142857143,0.2857142857142857,0,0.42857142857142855,0.5714285714285714,4,5,5,5
87a945b85ffffff,2,1,0,0,0,1,3,3,3,3
87a945b86ffffff,18,0.9444444444444444,0.05555555555555555,0,0.16666666666666666,0.6666666666666666,4,5,5,5
87a945b88ffffff,2,1,0,0,0,1,3,3,3,3
87a945b8dffffff,2,1,0,0,0,1,3,3,3,3
87a945b90ffffff,2,1,0,0,0,1,3,3,3,3
87a945b92ffffff,4,1,0,0,0.5,0.5,4,5,5,5
87a945b93ffffff,1,1,0,0,1,0,4,5,5,7
87a945b94ffffff,2,1,0,0,0.5,0.5,4,5,5,5
87a945b95ffffff,4,1,0,0,0,1,3,3,3,3
87a945b96ffffff,5,0.6,0.4,0,0.6,0.4,4,5,5,7
